0,1,2,3,4
"{'businessPointId': 99, 'businessPointName': '品牌类计划', 'id': 99, 'leafNode': True}",,,,
"{'businessPointId': 2001, 'businessPointName': '医疗服务', 'id': 2001, 'leafNode': False}","{'businessPointId': 200111, 'businessPointName': '体检科', 'id': 200111, 'leafNode': True}",,,
"{'businessPointId': 2001, 'businessPointName': '医疗服务', 'id': 2001, 'leafNode': False}","{'businessPointId': 200113, 'businessPointName': '生殖医学科', 'id': 200113, 'leafNode': True}",,,
"{'businessPointId': 2001, 'businessPointName': '医疗服务', 'id': 2001, 'leafNode': False}","{'businessPointId': 200114, 'businessPointName': '戒毒科', 'id': 200114, 'leafNode': True}",,,
"{'businessPointId': 2001, 'businessPointName': '医疗服务', 'id': 2001, 'leafNode': False}","{'businessPointId': 200115, 'businessPointName': '康复科', 'id': 200115, 'leafNode': True}",,,
"{'businessPointId': 2001, 'businessPointName': '医疗服务', 'id': 2001, 'leafNode': False}","{'businessPointId': 200116, 'businessPointName': '综合医院', 'id': 200116, 'leafNode': True}",,,
"{'businessPointId': 2002, 'businessPointName': '整形美容', 'id': 2002, 'leafNode': False}","{'businessPointId': 200202, 'businessPointName': '整形修复外科', 'id': 200202, 'leafNode': True}",,,
"{'businessPointId': 2002, 'businessPointName': '整形美容', 'id': 2002, 'leafNode': False}","{'businessPointId': 200210, 'businessPointName': '医美服务平台', 'id': 200210, 'leafNode': True}",,,
"{'businessPointId': 2004, 'businessPointName': '保健品/药品', 'id': 2004, 'leafNode': False}","{'businessPointId': 200402, 'businessPointName': '药房', 'id': 200402, 'leafNode': True}",,,
"{'businessPointId': 2004, 'businessPointName': '保健品/药品', 'id': 2004, 'leafNode': False}","{'businessPointId': 200403, 'businessPointName': '医药电商平台', 'id': 200403, 'leafNode': True}",,,
"{'businessPointId': 2005, 'businessPointName': '机械设备', 'id': 2005, 'leafNode': False}","{'businessPointId': 200509, 'businessPointName': '机械设备信息平台', 'id': 200509, 'leafNode': True}",,,
"{'businessPointId': 2006, 'businessPointName': '商务服务', 'id': 2006, 'leafNode': False}","{'businessPointId': 200602, 'businessPointName': '商业检修', 'id': 200602, 'leafNode': True}",,,
"{'businessPointId': 2006, 'businessPointName': '商务服务', 'id': 2006, 'leafNode': False}","{'businessPointId': 200614, 'businessPointName': '商务服务-综合平台', 'id': 200614, 'leafNode': True}",,,
"{'businessPointId': 2006, 'businessPointName': '商务服务', 'id': 2006, 'leafNode': False}","{'businessPointId': 200615, 'businessPointName': '团建拓展', 'id': 200615, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200701, 'businessPointName': '开锁配钥', 'id': 200701, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200704, 'businessPointName': '便民充值', 'id': 200704, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200706, 'businessPointName': '月子中心（非医疗机构）', 'id': 200706, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200710, 'businessPointName': '宠物医院', 'id': 200710, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200718, 'businessPointName': '文玩收藏', 'id': 200718, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200719, 'businessPointName': '心理援助', 'id': 200719, 'leafNode': True}",,,
"{'businessPointId': 2007, 'businessPointName': '生活服务', 'id': 2007, 'leafNode': False}","{'businessPointId': 200720, 'businessPointName': '彩票', 'id': 200720, 'leafNode': True}",,,
"{'businessPointId': 2008, 'businessPointName': '文娱传媒', 'id': 2008, 'leafNode': False}","{'businessPointId': 200808, 'businessPointName': '自媒体', 'id': 200808, 'leafNode': True}",,,
"{'businessPointId': 2009, 'businessPointName': '文体器材', 'id': 2009, 'leafNode': False}","{'businessPointId': 200903, 'businessPointName': '办公文教-其他', 'id': 200903, 'leafNode': True}",,,
"{'businessPointId': 2009, 'businessPointName': '文体器材', 'id': 2009, 'leafNode': False}","{'businessPointId': 200907, 'businessPointName': '娱乐器械', 'id': 200907, 'leafNode': True}",,,
"{'businessPointId': 2009, 'businessPointName': '文体器材', 'id': 2009, 'leafNode': False}","{'businessPointId': 200908, 'businessPointName': '户外装备', 'id': 200908, 'leafNode': True}",,,
"{'businessPointId': 2010, 'businessPointName': '交通出行', 'id': 2010, 'leafNode': False}","{'businessPointId': 201007, 'businessPointName': '交通出行-其他', 'id': 201007, 'leafNode': True}",,,
"{'businessPointId': 2011, 'businessPointName': '物流业', 'id': 2011, 'leafNode': False}","{'businessPointId': 201102, 'businessPointName': '特殊运输', 'id': 201102, 'leafNode': True}",,,
"{'businessPointId': 2011, 'businessPointName': '物流业', 'id': 2011, 'leafNode': False}","{'businessPointId': 201103, 'businessPointName': '物流业-其他', 'id': 201103, 'leafNode': True}",,,
"{'businessPointId': 2013, 'businessPointName': '食品饮料', 'id': 2013, 'leafNode': False}","{'businessPointId': 201310, 'businessPointName': '特殊医学用途配方食品', 'id': 201310, 'leafNode': True}",,,
"{'businessPointId': 2014, 'businessPointName': '母婴用品', 'id': 2014, 'leafNode': False}","{'businessPointId': 201404, 'businessPointName': '孕妇用品', 'id': 201404, 'leafNode': True}",,,
"{'businessPointId': 2014, 'businessPointName': '母婴用品', 'id': 2014, 'leafNode': False}","{'businessPointId': 201405, 'businessPointName': '母婴服饰', 'id': 201405, 'leafNode': True}",,,
